frame_number,refined_predicted,homographied,refined_homographied,court
0,2,0,0,0
0,5,0,0,0
0,4,0,0,0
0,3,0,0,0
0,4,0,0,0
0,1,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,7,0,0,0
0,3,0,0,0
0,5,0,0,0
0,7,14,8,14
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,7,14,7,14
0,3,0,0,0
0,3,0,0,0
0,2,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,7,14,9,14
0,3,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,4,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,14,7,14
0,6,14,6,14
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,14,5,0
0,7,14,8,14
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,4,0,0,0
0,1,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,3,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,3,0,0,0
0,7,0,0,0
0,6,0,0,0
0,7,14,9,14
0,5,0,0,0
0,6,0,0,0
0,4,0,0,0
0,5,0,0,0
0,7,14,8,14
0,7,14,9,14
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,14,7,14
0,6,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,14,8,14
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,7,14,7,14
0,6,14,9,14
0,6,14,8,14
0,8,14,9,14
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,7,14,8,14
0,6,0,0,0
0,6,0,0,0
0,3,0,0,0
0,5,0,0,0
0,3,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,6,14,7,14
0,6,14,7,14
0,4,0,0,0
0,4,0,0,0
0,6,14,9,14
0,6,14,7,14
0,6,0,0,0
0,7,14,10,14
0,5,0,0,0
0,9,14,9,14
0,6,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,14,7,14
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,7,14,6,14
0,6,0,0,0
0,6,0,0,0
0,4,0,0,0
0,6,14,8,14
0,8,14,8,14
0,6,14,8,14
0,5,14,9,14
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,14,8,14
0,5,0,0,0
0,6,14,8,14
0,6,14,8,14
0,6,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,14,9,14
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,7,14,8,14
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,14,9,14
0,5,0,0,0
0,3,0,0,0
0,5,0,0,0
0,4,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,7,0,0,0
0,6,0,0,0
0,4,0,0,0
0,6,0,0,0
0,7,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,7,14,8,14
0,7,14,8,14
0,6,0,0,0
0,6,0,0,0
0,7,0,0,0
0,7,0,0,0
0,6,0,0,0
0,4,0,0,0
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,4,0,0,0
0,3,0,0,0
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,2,0,0,0
0,3,0,0,0
0,4,0,0,0
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,3,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,14,8,14
0,5,14,8,14
0,8,14,9,14
0,8,14,8,14
0,7,14,9,14
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,4,0,0,0
0,3,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,7,14,5,0
0,6,0,0,0
0,5,0,0,0
0,6,14,4,0
0,7,14,5,0
0,7,14,7,14
0,7,14,6,14
0,6,0,0,0
0,7,14,6,14
0,7,14,5,14
0,3,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,14,9,14
0,7,14,7,14
0,5,0,0,0
0,7,14,8,14
0,8,14,8,14
0,8,14,8,14
0,7,14,8,14
0,7,14,8,14
0,7,14,7,14
0,7,14,7,14
0,5,0,0,0
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,7,14,5,0
0,7,14,5,0
0,7,14,7,14
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,7,14,7,14
0,8,14,8,14
0,5,0,0,0
0,5,0,0,0
0,6,14,8,14
0,6,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,14,10,14
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,7,0,0,0
0,7,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,4,0,0,0
0,6,0,0,0
0,4,0,0,0
0,3,0,0,0
0,5,0,0,0
0,7,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,7,14,9,14
0,7,0,0,0
0,6,0,0,0
0,7,14,10,14
0,7,0,0,0
0,7,14,9,14
0,9,14,11,14
0,5,0,0,0
0,3,0,0,0
0,4,0,0,0
0,4,0,0,0
0,2,0,0,0
0,3,0,0,0
0,4,0,0,0
0,5,0,0,0
0,7,14,7,14
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,6,0,0,0
0,7,14,8,14
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,3,0,0,0
0,6,0,0,0
0,6,0,0,0
0,7,14,8,14
0,7,14,8,14
0,6,0,0,0
0,6,0,0,0
0,7,14,8,14
0,6,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,7,0,0,0
0,3,0,0,0
0,3,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,3,0,0,0
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,14,9,14
0,7,14,5,0
0,7,14,7,14
0,6,14,5,0
0,5,0,0,0
0,5,0,0,0
0,5,14,8,14
0,6,0,0,0
0,6,0,0,0
0,7,14,8,14
0,5,0,0,0
0,3,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,6,14,8,14
0,6,14,8,14
0,6,14,8,14
0,6,0,0,0
0,6,14,7,14
0,5,0,0,0
0,7,14,8,14
0,7,14,8,14
0,7,14,8,14
0,7,14,8,14
0,6,0,0,0
0,8,14,7,14
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,7,14,7,14
0,6,14,8,14
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,7,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,14,7,14
0,6,14,7,14
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,7,14,7,14
0,7,14,7,14
0,7,0,0,0
0,7,0,0,0
0,7,0,0,0
0,7,0,0,0
0,7,0,0,0
0,5,0,0,0
0,3,0,0,0
0,7,14,9,14
0,7,0,0,0
0,6,0,0,0
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,6,14,8,14
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,3,0,0,0
0,5,0,0,0
0,7,14,8,14
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,14,9,14
0,6,14,8,14
0,5,0,0,0
0,6,0,0,0
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,4,0,0,0
0,7,14,8,14
0,7,14,8,14
0,7,14,9,14
0,7,14,9,14
0,5,14,9,14
0,6,14,7,14
0,5,0,0,0
0,5,0,0,0
0,5,14,9,14
0,5,14,5,0
0,5,14,6,14
0,6,14,8,14
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,3,0,0,0
0,3,0,0,0
0,4,0,0,0
0,5,14,9,14
0,6,0,0,0
0,7,14,9,14
0,6,14,7,14
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,7,14,9,14
0,4,0,0,0
0,5,14,8,14
0,5,14,7,14
0,5,14,7,14
0,7,14,8,14
0,4,0,0,0
0,5,14,7,14
0,7,14,8,14
0,7,14,9,14
0,6,14,8,14
0,6,0,0,0
0,5,14,8,14
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,3,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,4,0,0,0
0,6,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,7,14,6,14
0,6,14,9,14
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,7,14,8,14
0,7,14,9,14
0,8,14,9,14
0,8,14,8,14
0,7,14,9,14
0,8,14,9,14
0,8,14,9,14
0,7,14,9,14
0,6,0,0,0
0,5,0,0,0
0,4,0,0,0
0,6,0,0,0
0,6,0,0,0
0,2,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,3,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,3,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,7,14,7,14
0,4,0,0,0
0,6,0,0,0
0,4,0,0,0
0,4,0,0,0
0,7,14,8,14
0,7,14,7,14
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,7,14,8,14
0,6,14,8,14
0,6,0,0,0
0,7,14,8,14
0,3,0,0,0
0,6,14,9,14
0,4,0,0,0
0,7,0,0,0
0,7,0,0,0
0,6,14,7,14
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,7,14,8,14
0,6,14,6,14
0,5,0,0,0
0,7,14,7,14
0,8,14,8,14
0,8,14,9,14
0,8,14,9,14
0,7,0,0,0
0,7,14,9,14
0,5,0,0,0
0,5,0,0,0
0,3,0,0,0
0,3,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,2,0,0,0
0,3,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,3,0,0,0
0,5,0,0,0
0,6,0,0,0
0,7,14,8,14
0,6,0,0,0
0,6,0,0,0
0,4,0,0,0
0,6,14,7,14
0,5,0,0,0
0,7,0,0,0
0,7,0,0,0
0,8,14,8,14
0,8,14,8,14
0,6,0,0,0
0,5,0,0,0
0,7,0,0,0
0,8,14,9,14
0,6,0,0,0
0,6,0,0,0
0,3,0,0,0
0,6,0,0,0
0,5,0,0,0
0,7,14,8,14
0,6,14,6,14
0,7,14,9,14
0,6,14,7,14
0,4,0,0,0
0,4,0,0,0
0,6,14,7,14
0,6,14,5,0
0,6,0,0,0
0,7,14,6,14
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,3,0,0,0
0,2,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,4,0,0,0
0,7,14,8,14
0,4,0,0,0
0,3,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,7,14,6,14
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,3,0,0,0
0,4,0,0,0
0,5,0,0,0
0,7,14,6,14
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,7,14,6,14
0,2,0,0,0
0,4,0,0,0
0,4,0,0,0
0,3,0,0,0
0,7,0,0,0
0,7,0,0,0
0,6,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,2,0,0,0
0,5,0,0,0
0,4,0,0,0
0,7,14,9,14
0,6,0,0,0
0,4,0,0,0
0,6,14,5,0
0,6,0,0,0
0,6,0,0,0
0,9,14,6,14
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,7,14,7,14
0,6,0,0,0
0,3,0,0,0
0,5,14,5,14
0,5,0,0,0
0,3,0,0,0
0,3,0,0,0
0,6,0,0,0
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,7,0,0,0
0,6,0,0,0
0,6,0,0,0
0,4,0,0,0
0,6,0,0,0
0,6,0,0,0
0,7,14,8,14
0,7,0,0,0
0,8,14,8,14
0,8,14,8,14
0,8,14,8,14
0,6,0,0,0
0,7,14,8,14
0,7,14,7,14
0,6,14,6,14
0,6,14,8,14
0,7,14,7,14
0,6,0,0,0
0,6,0,0,0
0,6,14,5,14
0,7,14,5,14
0,6,14,6,14
0,5,14,5,14
0,5,14,6,14
0,7,14,5,14
0,5,14,5,14
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,7,14,6,14
0,6,0,0,0
0,7,14,7,14
0,7,14,6,14
0,7,14,10,14
0,6,14,8,14
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,14,9,14
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,6,14,9,14
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,3,0,0,0
0,3,0,0,0
0,4,0,0,0
0,3,0,0,0
0,3,0,0,0
0,4,0,0,0
0,3,0,0,0
0,5,0,0,0
0,3,0,0,0
0,2,0,0,0
0,3,0,0,0
0,2,0,0,0
0,6,14,8,14
0,4,0,0,0
0,4,0,0,0
0,2,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,6,14,7,14
0,6,14,7,14
0,6,14,8,14
0,7,14,9,14
0,7,14,8,14
0,5,0,0,0
0,6,14,9,14
0,5,14,7,14
0,6,14,7,14
0,5,0,0,0
0,7,14,6,14
0,7,14,8,14
0,7,14,7,14
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,14,7,14
0,5,14,8,14
0,6,14,7,14
0,7,14,8,14
0,7,14,4,0
0,8,14,7,14
0,7,14,9,14
0,6,0,0,0
0,5,0,0,0
0,7,14,7,14
0,7,14,8,14
0,8,14,7,14
0,5,0,0,0
0,8,14,6,14
0,5,0,0,0
0,4,0,0,0
0,6,14,10,14
0,5,0,0,0
0,6,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,6,0,0,0
0,4,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,4,0,0,0
0,6,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,2,0,0,0
0,5,0,0,0
0,4,0,0,0
0,3,0,0,0
0,6,0,0,0
0,7,0,0,0
0,6,0,0,0
0,6,14,7,14
0,5,0,0,0
0,5,0,0,0
0,4,0,0,0
0,7,14,7,14
0,6,0,0,0
0,6,0,0,0
0,5,0,0,0
0,4,0,0,0
0,5,14,6,0
0,4,0,0,0
0,6,14,6,14
0,5,0,0,0
0,7,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,14,7,0
0,7,0,0,0
0,6,0,0,0
0,6,14,7,14
0,5,0,0,0
0,3,0,0,0
0,4,0,0,0
0,4,0,0,0
0,4,0,0,0
0,3,0,0,0
0,3,0,0,0
0,5,0,0,0
0,5,0,0,0
0,5,0,0,0
0,2,0,0,0
0,6,0,0,0
0,6,14,7,14
0,3,0,0,0
0,7,14,7,14
0,1,0,0,0
0,4,0,0,0
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,5,0,0,0
0,4,0,0,0
0,7,14,7,14
0,6,0,0,0
0,7,14,8,14
0,5,0,0,0
0,6,0,0,0
0,6,14,6,0
0,7,14,7,14
0,4,0,0,0
0,5,0,0,0
0,5,0,0,0
0,6,14,7,14
0,6,0,0,0
0,7,14,7,14
0,7,14,7,14
0,2,0,0,0
0,6,14,7,14
0,5,0,0,0
0,5,0,0,0
0,6,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
